in s,M1 in V
-5.80608E-02,-1.149078E+01
-5.80560E-02,-1.147263E+01
-5.80512E-02,-1.146301E+01
-5.80464E-02,-1.144913E+01
-5.80416E-02,-1.143524E+01
-5.80368E-02,-1.142563E+01
-5.80320E-02,-1.141281E+01
-5.80272E-02,-1.139786E+01
-5.80224E-02,-1.139145E+01
-5.80176E-02,-1.137543E+01
-5.80128E-02,-1.135727E+01
-5.80080E-02,-1.135193E+01
-5.80032E-02,-1.133911E+01
-5.79984E-02,-1.131882E+01
-5.79936E-02,-1.130600E+01
-5.79888E-02,-1.129852E+01
-5.79840E-02,-1.127930E+01
-5.79792E-02,-1.127396E+01
-5.79744E-02,-1.126862E+01
-5.79696E-02,-1.124298E+01
-5.79648E-02,-1.122482E+01
-5.79600E-02,-1.121414E+01
-5.79552E-02,-1.119812E+01
-5.79504E-02,-1.117783E+01
-5.79456E-02,-1.116714E+01
-5.79408E-02,-1.116287E+01
-5.79360E-02,-1.114365E+01
-5.79312E-02,-1.113190E+01
-5.79264E-02,-1.112015E+01
-5.79216E-02,-1.110519E+01
-5.79168E-02,-1.108810E+01
-5.79120E-02,-1.107529E+01
-5.79072E-02,-1.105499E+01
-5.79024E-02,-1.104324E+01
-5.78976E-02,-1.103149E+01
-5.78928E-02,-1.101974E+01
-5.78880E-02,-1.099945E+01
-5.78832E-02,-1.098877E+01
-5.78784E-02,-1.097702E+01
-5.78736E-02,-1.096100E+01
-5.78688E-02,-1.094925E+01
-5.78640E-02,-1.093857E+01
-5.78592E-02,-1.092041E+01
-5.78544E-02,-1.090546E+01
-5.78496E-02,-1.089050E+01
-5.78448E-02,-1.087769E+01
-5.78400E-02,-1.086273E+01
-5.78352E-02,-1.085205E+01
-5.78304E-02,-1.084030E+01
-5.78256E-02,-1.081680E+01
-5.78208E-02,-1.081146E+01
-5.78160E-02,-1.079865E+01
-5.78112E-02,-1.078156E+01
-5.78064E-02,-1.077515E+01
-5.78016E-02,-1.076340E+01
-5.77968E-02,-1.074738E+01
-5.77920E-02,-1.073456E+01
-5.77872E-02,-1.072495E+01
-5.77824E-02,-1.071106E+01
-5.77776E-02,-1.069611E+01
-5.77728E-02,-1.068115E+01
-5.77680E-02,-1.066513E+01
-5.77632E-02,-1.064911E+01
-5.77584E-02,-1.064056E+01
-5.77536E-02,-1.062347E+01
-5.77488E-02,-1.061066E+01
-5.77440E-02,-1.060318E+01
-5.77392E-02,-1.059570E+01
-5.77344E-02,-1.058289E+01
-5.77296E-02,-1.057327E+01
-5.77248E-02,-1.056580E+01
-5.77200E-02,-1.055084E+01
-5.77152E-02,-1.053482E+01
-5.77104E-02,-1.051666E+01
-5.77056E-02,-1.049744E+01
-5.77008E-02,-1.048355E+01
-5.76960E-02,-1.047394E+01
-5.76912E-02,-1.045578E+01
-5.76864E-02,-1.044937E+01
-5.76816E-02,-1.043655E+01
-5.76768E-02,-1.042053E+01
-5.76720E-02,-1.039276E+01
-5.76672E-02,-1.038635E+01
-5.76624E-02,-1.036819E+01
-5.76576E-02,-1.036072E+01
-5.76528E-02,-1.035217E+01
-5.76480E-02,-1.033829E+01
-5.76432E-02,-1.032440E+01
-5.76384E-02,-1.031586E+01
-5.76336E-02,-1.030945E+01
-5.76288E-02,-1.029236E+01
-5.76240E-02,-1.027527E+01
-5.76192E-02,-1.026352E+01
-5.76144E-02,-1.025177E+01
-5.76096E-02,-1.024109E+01
-5.76048E-02,-1.022507E+01
-5.76000E-02,-1.021225E+01
-5.75952E-02,-1.019730E+01
-5.75904E-02,-1.018341E+01
-5.75856E-02,-1.017273E+01
-5.75808E-02,-1.015564E+01
-5.75760E-02,-1.015030E+01
-5.75712E-02,-1.014069E+01
-5.75664E-02,-1.012894E+01
-5.75616E-02,-1.010757E+01
-5.75568E-02,-1.009903E+01
-5.75520E-02,-1.008514E+01
-5.75472E-02,-1.006699E+01
-5.75424E-02,-1.005630E+01
-5.75376E-02,-1.004669E+01
-5.75328E-02,-1.003815E+01
-5.75280E-02,-1.002213E+01
-5.75232E-02,-1.001999E+01
-5.75184E-02,-1.000504E+01
-5.75136E-02,-9.990082E+00
-5.75088E-02,-9.986877E+00
-5.75040E-02,-9.968719E+00
-5.74992E-02,-9.959106E+00
-5.74944E-02,-9.944153E+00
-5.74896E-02,-9.933472E+00
-5.74848E-02,-9.918518E+00
-5.74800E-02,-9.907837E+00
-5.74752E-02,-9.900360E+00
-5.74704E-02,-9.889679E+00
-5.74656E-02,-9.874725E+00
-5.74608E-02,-9.872589E+00
-5.74560E-02,-9.857635E+00
-5.74512E-02,-9.843750E+00
-5.74464E-02,-9.832001E+00
-5.74416E-02,-9.818115E+00
-5.74368E-02,-9.794617E+00
-5.74320E-02,-9.801025E+00
-5.74272E-02,-9.788208E+00
-5.74224E-02,-9.780731E+00
-5.74176E-02,-9.771118E+00
-5.74128E-02,-9.757233E+00
-5.74080E-02,-9.748688E+00
-5.74032E-02,-9.732666E+00
-5.73984E-02,-9.729462E+00
-5.73936E-02,-9.716644E+00
-5.73888E-02,-9.714508E+00
-5.73840E-02,-9.710236E+00
-5.73792E-02,-9.694214E+00
-5.73744E-02,-9.674988E+00
-5.73696E-02,-9.673920E+00
-5.73648E-02,-9.660034E+00
-5.73600E-02,-9.630127E+00
-5.73552E-02,-9.616241E+00
-5.73504E-02,-9.618378E+00
-5.73456E-02,-9.603424E+00
-5.73408E-02,-9.594879E+00
-5.73360E-02,-9.590607E+00
-5.73312E-02,-9.569244E+00
-5.73264E-02,-9.550018E+00
-5.73216E-02,-9.557495E+00
-5.73168E-02,-9.539337E+00
-5.73120E-02,-9.528656E+00
-5.73072E-02,-9.516907E+00
-5.73024E-02,-9.509430E+00
-5.72976E-02,-9.499817E+00
-5.72928E-02,-9.497681E+00
-5.72880E-02,-9.491272E+00
-5.72832E-02,-9.475250E+00
-5.72784E-02,-9.470978E+00
-5.72736E-02,-9.477386E+00
-5.72688E-02,-9.459229E+00
-5.72640E-02,-9.451752E+00
-5.72592E-02,-9.445343E+00
-5.72544E-02,-9.418640E+00
-5.72496E-02,-9.403687E+00
-5.72448E-02,-9.401550E+00
-5.72400E-02,-9.383392E+00
-5.72352E-02,-9.373779E+00
-5.72304E-02,-9.365234E+00
-5.72256E-02,-9.352417E+00
-5.72208E-02,-9.335327E+00
-5.72160E-02,-9.328918E+00
-5.72112E-02,-9.318237E+00
-5.72064E-02,-9.306488E+00
-5.72016E-02,-9.302216E+00
-5.71968E-02,-9.292603E+00
-5.71920E-02,-9.279785E+00
-5.71872E-02,-9.273376E+00
-5.71824E-02,-9.263763E+00
-5.71776E-02,-9.248810E+00
-5.71728E-02,-9.237061E+00
-5.71680E-02,-9.226379E+00
-5.71632E-02,-9.215698E+00
-5.71584E-02,-9.206085E+00
-5.71536E-02,-9.198608E+00
-5.71488E-02,-9.192200E+00
-5.71440E-02,-9.181519E+00
-5.71392E-02,-9.177246E+00
-5.71344E-02,-9.163361E+00
-5.71296E-02,-9.155884E+00
-5.71248E-02,-9.141998E+00
-5.71200E-02,-9.133453E+00
-5.71152E-02,-9.114227E+00
-5.71104E-02,-9.096069E+00
-5.71056E-02,-9.091797E+00
-5.71008E-02,-9.080048E+00
-5.70960E-02,-9.068298E+00
-5.70912E-02,-9.058685E+00
-5.70864E-02,-9.048004E+00
-5.70816E-02,-9.030914E+00
-5.70768E-02,-9.025574E+00
-5.70720E-02,-9.007416E+00
-5.70672E-02,-8.999939E+00
-5.70624E-02,-8.987122E+00
-5.70576E-02,-8.979645E+00
-5.70528E-02,-8.973236E+00
-5.70480E-02,-8.966827E+00
-5.70432E-02,-8.943329E+00
-5.70384E-02,-8.936920E+00
-5.70336E-02,-8.935852E+00
-5.70288E-02,-8.921967E+00
-5.70240E-02,-8.919830E+00
-5.70192E-02,-8.915558E+00
-5.70144E-02,-8.898468E+00
-5.70096E-02,-8.887787E+00
-5.70048E-02,-8.879242E+00
-5.70000E-02,-8.867493E+00
-5.69952E-02,-8.857880E+00
-5.69904E-02,-8.855743E+00
-5.69856E-02,-8.863220E+00
-5.69808E-02,-8.836517E+00
-5.69760E-02,-8.830109E+00
-5.69712E-02,-8.821564E+00
-5.69664E-02,-8.805542E+00
-5.69616E-02,-8.787384E+00
-5.69568E-02,-8.777771E+00
-5.69520E-02,-8.769226E+00
-5.69472E-02,-8.748932E+00
-5.69424E-02,-8.739319E+00
-5.69376E-02,-8.723297E+00
-5.69328E-02,-8.709412E+00
-5.69280E-02,-8.696594E+00
-5.69232E-02,-8.680573E+00
-5.69184E-02,-8.666687E+00
-5.69136E-02,-8.650665E+00
-5.69088E-02,-8.632507E+00
-5.69040E-02,-8.617554E+00
-5.68992E-02,-8.606873E+00
-5.68944E-02,-8.591919E+00
-5.68896E-02,-8.578033E+00
-5.68848E-02,-8.565216E+00
-5.68800E-02,-8.558807E+00
-5.68752E-02,-8.543854E+00
-5.68704E-02,-8.532104E+00
-5.68656E-02,-8.524628E+00
-5.68608E-02,-8.506470E+00
-5.68560E-02,-8.493652E+00
-5.68512E-02,-8.485107E+00
-5.68464E-02,-8.486176E+00
-5.68416E-02,-8.470154E+00
-5.68368E-02,-8.473358E+00
-5.68320E-02,-8.456268E+00
-5.68272E-02,-8.441315E+00
-5.68224E-02,-8.439178E+00
-5.68176E-02,-8.424225E+00
-5.68128E-02,-8.414612E+00
-5.68080E-02,-8.413544E+00
-5.68032E-02,-8.394318E+00
-5.67984E-02,-8.383636E+00
-5.67936E-02,-8.371887E+00
-5.67888E-02,-8.354797E+00
-5.67840E-02,-8.334503E+00
-5.67792E-02,-8.318481E+00
-5.67744E-02,-8.308868E+00
-5.67696E-02,-8.288574E+00
-5.67648E-02,-8.277893E+00
-5.67600E-02,-8.267212E+00
-5.67552E-02,-8.251190E+00
-5.67504E-02,-8.243713E+00
-5.67456E-02,-8.235168E+00
-5.67408E-02,-8.223419E+00
-5.67360E-02,-8.200989E+00
-5.67312E-02,-8.190308E+00
-5.67264E-02,-8.175354E+00
-5.67216E-02,-8.158264E+00
-5.67168E-02,-8.149719E+00
-5.67120E-02,-8.129425E+00
-5.67072E-02,-8.106995E+00
-5.67024E-02,-8.108063E+00
-5.66976E-02,-8.089905E+00
-5.66928E-02,-8.076019E+00
-5.66880E-02,-8.074951E+00
-5.66832E-02,-8.063202E+00
-5.66784E-02,-8.039703E+00
-5.66736E-02,-8.031158E+00
-5.66688E-02,-8.018341E+00
-5.66640E-02,-8.000183E+00
-5.66592E-02,-7.985229E+00
-5.66544E-02,-7.973480E+00
-5.66496E-02,-7.964935E+00
-5.66448E-02,-7.957458E+00
-5.66400E-02,-7.933960E+00
-5.66352E-02,-7.928619E+00
-5.66304E-02,-7.912598E+00
-5.66256E-02,-7.891235E+00
-5.66208E-02,-7.899780E+00
-5.66160E-02,-7.886963E+00
-5.66112E-02,-7.867737E+00
-5.66064E-02,-7.858124E+00
-5.66016E-02,-7.841034E+00
-5.65968E-02,-7.832489E+00
-5.65920E-02,-7.825012E+00
-5.65872E-02,-7.813263E+00
-5.65824E-02,-7.797241E+00
-5.65776E-02,-7.794037E+00
-5.65728E-02,-7.782288E+00
-5.65680E-02,-7.764130E+00
-5.65632E-02,-7.764130E+00
-5.65584E-02,-7.747040E+00
-5.65536E-02,-7.724609E+00
-5.65488E-02,-7.724609E+00
-5.65440E-02,-7.717133E+00
-5.65392E-02,-7.704315E+00
-5.65344E-02,-7.686157E+00
-5.65296E-02,-7.679749E+00
-5.65248E-02,-7.657318E+00
-5.65200E-02,-7.648773E+00
-5.65152E-02,-7.640228E+00
-5.65104E-02,-7.617798E+00
-5.65056E-02,-7.601776E+00
-5.65008E-02,-7.597504E+00
-5.64960E-02,-7.587891E+00
-5.64912E-02,-7.577209E+00
-5.64864E-02,-7.567596E+00
-5.64816E-02,-7.561188E+00
-5.64768E-02,-7.554779E+00
-5.64720E-02,-7.537689E+00
-5.64672E-02,-7.527008E+00
-5.64624E-02,-7.513123E+00
-5.64576E-02,-7.503510E+00
-5.64528E-02,-7.491760E+00
-5.64480E-02,-7.477875E+00
-5.64432E-02,-7.467194E+00
-5.64384E-02,-7.454376E+00
-5.64336E-02,-7.440491E+00
-5.64288E-02,-7.431946E+00
-5.64240E-02,-7.420197E+00
-5.64192E-02,-7.409515E+00
-5.64144E-02,-7.388153E+00
-5.64096E-02,-7.377472E+00
-5.64048E-02,-7.362518E+00
-5.64000E-02,-7.349701E+00
-5.63952E-02,-7.334747E+00
-5.63904E-02,-7.324066E+00
-5.63856E-02,-7.308044E+00
-5.63808E-02,-7.300568E+00
-5.63760E-02,-7.278137E+00
-5.63712E-02,-7.268524E+00
-5.63664E-02,-7.254639E+00
-5.63616E-02,-7.240753E+00
-5.63568E-02,-7.233276E+00
-5.63520E-02,-7.216187E+00
-5.63472E-02,-7.209778E+00
-5.63424E-02,-7.196960E+00
-5.63376E-02,-7.190552E+00
-5.63328E-02,-7.177734E+00
-5.63280E-02,-7.169189E+00
-5.63232E-02,-7.155304E+00
-5.63184E-02,-7.152100E+00
-5.63136E-02,-7.139282E+00
-5.63088E-02,-7.125397E+00
-5.63040E-02,-7.105103E+00
-5.62992E-02,-7.089081E+00
-5.62944E-02,-7.088013E+00
-5.62896E-02,-7.080536E+00
-5.62848E-02,-7.071991E+00
